gamma,max_depth,learning_rate,n_estimators,min_child_weight,train_acc,train_f1,train_tp,train_fp,train_tn,train_fn,train_precision,train_recall,train_roc_auc,val_acc,val_f1,val_tp,val_fp,val_tn,val_fn,val_precision,val_recall,val_roc_auc
0,3,0.01,100,20,0.6121937102064442,0.003964321110009911,8,0,6338,4020,1.0,0.0019860973187686196,0.5009930486593843,0.5856252291895856,0.007029876977152899,4,0,1593,1130,1.0,0.003527336860670194,0.501763668430335
0,3,0.01,100,50,0.6114219563959097,0.0,0,0,6338,4028,0.0,0.0,0.5,0.5841584158415841,0.0,0,0,1593,1134,0.0,0.0,0.5
0,3,0.01,100,100,0.6114219563959097,0.0,0,0,6338,4028,0.0,0.0,0.5,0.5841584158415841,0.0,0,0,1593,1134,0.0,0.0,0.5
0,3,0.01,200,20,0.6168242330696507,0.033106134371957155,68,12,6326,3960,0.85,0.016881827209533268,0.5074942427306739,0.5848918225155849,0.008756567425569177,5,3,1590,1129,0.625,0.004409171075837742,0.5012629659522315
0,3,0.01,200,50,0.6120972409801273,0.004456548650656103,9,2,6336,4019,0.8181818181818182,0.0022343594836146973,0.5009594012627919,0.5841584158415841,0.0,0,0,1593,1134,0.0,0.0,0.5
0,3,0.01,200,100,0.6114219563959097,0.0,0,0,6338,4028,0.0,0.0,0.5,0.5841584158415841,0.0,0,0,1593,1134,0.0,0.0,0.5
0,3,0.01,300,20,0.6195253714065213,0.04872165943077665,101,17,6321,3927,0.8559322033898306,0.025074478649453825,0.5111961222530955,0.5848918225155849,0.013937282229965157,8,6,1587,1126,0.5714285714285714,0.007054673721340388,0.5016440976892954
0,3,0.01,300,50,0.6133513409222459,0.01085883514313919,22,2,6336,4006,0.9166666666666666,0.005461767626613704,0.5025731053342914,0.5856252291895856,0.010507880910683012,6,2,1591,1128,0.75,0.005291005291005291,0.5020177562550444
0,3,0.01,300,100,0.612290179432761,0.004458756502353232,9,0,6338,4019,1.0,0.0022343594836146973,0.5011171797418074,0.5837917125045838,0.003511852502194908,2,3,1590,1132,0.4,0.001763668430335097,0.49994021462948013
0,3,0.01,400,20,0.6237700173644607,0.07098618389709385,149,21,6317,3879,0.8764705882352941,0.03699106256206554,0.5168388572513705,0.5852585258525853,0.015665796344647518,9,6,1587,1125,0.6,0.007936507936507936,0.5020850147968792
0,3,0.01,400,50,0.6153771946748987,0.024467824810374357,50,9,6329,3978,0.847457627118644,0.012413108242303872,0.5054965509655823,0.5856252291895856,0.010507880910683012,6,2,1591,1128,0.75,0.005291005291005291,0.5020177562550444
0,3,0.01,400,100,0.6133513409222459,0.01037037037037037,21,1,6337,4007,0.9545454545454546,0.005213505461767627,0.5025278634913761,0.5834250091675834,0.006993006993006993,4,6,1587,1130,0.4,0.003527336860670194,0.49988042925896026
0,3,0.01,500,20,0.6255064634381632,0.08270321361058601,175,29,6309,3853,0.8578431372549019,0.04344587884806356,0.5194351514783077,0.5863586358635864,0.02422145328719723,14,8,1585,1120,0.6363636363636364,0.012345679012345678,0.5036618539443398
0,3,0.01,500,50,0.6171136407486012,0.035479951397326855,73,14,6324,3955,0.8390804597701149,0.018123138033763656,0.5079571196637735,0.585991932526586,0.012248468941382326,7,2,1591,1127,0.7777777777777778,0.006172839506172839,0.5024586733626282
0,3,0.01,500,100,0.6151842562222651,0.022064231429271882,45,6,6332,3983,0.8823529411764706,0.011171797418073486,0.5051125632719903,0.5834250091675834,0.008726003490401396,5,7,1586,1129,0.4166666666666667,0.004409171075837742,0.500007473171315
0,3,0.01,600,20,0.628111132548717,0.09782354317809501,209,36,6302,3819,0.8530612244897959,0.05188679245283019,0.5231033836041367,0.5885588558855885,0.03442340791738382,20,8,1585,1114,0.7142857142857143,0.01763668430335097,0.5063073565898424
0,3,0.01,600,50,0.6204900636696894,0.05296100144439095,110,16,6322,3918,0.873015873015873,0.02730883813306852,0.5123921912344106,0.5870920425375871,0.01916376306620209,11,3,1590,1123,0.7857142857142857,0.009700176366843033,0.5039084685977341
0,3,0.01,600,100,0.6171136407486012,0.035479951397326855,73,14,6324,3955,0.8390804597701149,0.018123138033763656,0.5079571196637735,0.5852585258525853,0.01737619461337967,10,7,1586,1124,0.5882352941176471,0.008818342151675485,0.5022120587092338
0,3,0.01,700,20,0.6313910862434883,0.11530446862699699,249,42,6296,3779,0.8556701030927835,0.061817279046673286,0.527595291464012,0.5911257792445911,0.05106382978723404,30,11,1582,1104,0.7317073170731707,0.026455026455026454,0.5097749080799928
0,3,0.01,700,50,0.6228053251012927,0.06727099236641221,141,23,6315,3887,0.8597560975609756,0.03500496524329692,0.5156880301129706,0.585991932526586,0.024200518582541054,14,9,1584,1120,0.6086956521739131,0.012345679012345678,0.5033479807491108
0,3,0.01,700,100,0.6188500868223037,0.04588263704419222,95,18,6320,3933,0.8407079646017699,0.02358490566037736,0.5103724465190496,0.585991932526586,0.022510822510822513,13,8,1585,1121,0.6190476190476191,0.01146384479717813,0.5032209368367561
0,3,0.01,800,20,0.6364074860119622,0.14087075450193753,309,50,6288,3719,0.8607242339832869,0.07671300893743793,0.5344120424933324,0.5903923725705904,0.060555088309503784,36,19,1574,1098,0.6545454545454545,0.031746031746031744,0.5099094251636623
0,3,0.01,800,50,0.6245417711749952,0.07728781412991939,163,27,6311,3865,0.8578947368421053,0.04046673286991063,0.5181033569682466,0.5863586358635864,0.029259896729776247,17,11,1582,1117,0.6071428571428571,0.014991181657848324,0.5040429856814037
0,3,0.01,800,100,0.6198147790854718,0.055595494847831294,116,29,6309,3912,0.8,0.028798411122144985,0.5121114176153482,0.5863586358635864,0.027586206896551724,16,10,1583,1118,0.6153846153846154,0.014109347442680775,0.5039159417690491
0,3,0.01,900,20,0.6383368705382982,0.15238525887406737,337,58,6280,3691,0.8531645569620253,0.0836643495531281,0.5372565988851157,0.5907590759075908,0.07,42,24,1569,1092,0.6363636363636364,0.037037037037037035,0.5109855618330194
0,3,0.01,900,50,0.6276287864171329,0.09601873536299765,205,37,6301,3823,0.8471074380165289,0.05089374379344588,0.5225279700349369,0.5878254492115879,0.04258943781942078,25,15,1578,1109,0.625,0.02204585537918871,0.5063148297611574
0,3,0.01,900,100,0.6213582867065406,0.06703113857855954,141,38,6300,3887,0.7877094972067039,0.03500496524329692,0.5145046915203546,0.5863586358635864,0.04081632653061224,24,18,1575,1110,0.5714285714285714,0.021164021164021163,0.5049322930678862
0,3,0.04,100,20,0.622612386648659,0.06679389312977099,140,24,6314,3888,0.8536585365853658,0.03475670307845084,0.5154850097910398,0.585991932526586,0.019113814074717638,11,6,1587,1123,0.6470588235294118,0.009700176366843033,0.5029668490120467
0,3,0.04,100,50,0.615763071580166,0.026399413346370082,54,9,6329,3974,0.8571428571428571,0.013406156901688183,0.5059930752952745,0.5856252291895856,0.010507880910683012,6,2,1591,1128,0.75,0.005291005291005291,0.5020177562550444
0,3,0.04,100,100,0.6133513409222459,0.01085883514313919,22,2,6336,4006,0.9166666666666666,0.005461767626613704,0.5025731053342914,0.5841584158415841,0.0070052539404553416,4,4,1589,1130,0.5,0.003527336860670194,0.5005081756494185
0,3,0.04,200,20,0.6360216091066949,0.14035087719298245,308,53,6285,3720,0.853185595567867,0.07646474677259185,0.5340512436923861,0.5914924825815915,0.06070826306913996,36,16,1577,1098,0.6923076923076923,0.031746031746031744,0.5108510447493497
0,3,0.04,200,50,0.6263746864750145,0.08849140974346906,188,33,6305,3840,0.8506787330316742,0.04667328699106256,0.5207332985917762,0.5881921525485881,0.04099060631938514,24,13,1580,1110,0.6486486486486487,0.021164021164021163,0.5065016590440319
0,3,0.04,200,100,0.621165348253907,0.06209696680200621,130,29,6309,3898,0.8176100628930818,0.03227408142999007,0.5138492527692708,0.5852585258525853,0.034158838599487616,20,17,1576,1114,0.5405405405405406,0.01763668430335097,0.5034824978327802
0,3,0.04,300,20,0.6517460929963341,0.21419242490204615,492,74,6264,3536,0.8692579505300353,0.1221449851042701,0.555234688828563,0.5863586358635864,0.07540983606557378,46,40,1553,1088,0.5348837209302325,0.04056437389770723,0.5077272591396885
0,3,0.04,300,50,0.6463438163225931,0.18785999113867966,424,62,6276,3604,0.8724279835390947,0.10526315789473684,0.5477404460978891,0.5863586358635864,0.06776859504132231,41,35,1558,1093,0.5394736842105263,0.036155202821869487,0.5070920395779153
0,3,0.04,300,100,0.6343816322593093,0.1366742596810934,300,62,6276,3728,0.8287292817679558,0.07447864945382324,0.5323481918774323,0.5867253392005867,0.06782464846980976,41,34,1559,1093,0.5466666666666666,0.036155202821869487,0.5074059127731444
